"State","Max AQI","County","Unhealthy Days","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama",87,"Baldwin",0,0,0,91,150,0
"Alabama",133,"Clay",0,0,0,0,239,0
"Alabama",93,"DeKalb",0,0,0,156,87,0
"Alabama",64,"Elmore",0,0,0,177,0,0
"Alabama",87,"Etowah",0,0,0,72,169,0
"Alabama",112,"Jefferson",0,1,2,23,156,0
"Alabama",36,"Lawrence",0,0,0,0,19,0
"Alabama",72,"Madison",0,0,0,66,115,0
"Alabama",80,"Mobile",0,0,0,74,167,0
"Alabama",90,"Montgomery",0,0,0,49,188,0
"Alabama",71,"Morgan",0,0,0,89,154,0
"Alabama",88,"Russell",0,0,0,137,64,0
"Alabama",80,"Shelby",0,0,0,182,0,0
"Alabama",90,"Sumter",0,0,0,51,191,0
"Alabama",93,"Tuscaloosa",0,0,0,74,169,0
"Alaska",58,"Aleutians East ",0,0,0,0,20,0
"Alaska",110,"Anchorage ",0,4,0,0,70,108
"Alaska",49,"Denali ",0,0,0,217,0,0
"Alaska",190,"Fairbanks North Star ",4,1,0,77,104,0
"Alaska",138,"Juneau ",0,0,0,0,181,0
"Alaska",14,"Kenai Peninsula ",0,0,0,0,20,0
"Alaska",141,"Matanuska-Susitna ",0,0,0,0,89,87
"Alaska",27,"North Slope ",0,0,0,0,19,0
"Arizona",52,"Apache",0,0,0,0,0,270
"Arizona",328,"Cochise",1,0,0,190,0,83
"Arizona",113,"Coconino",0,0,0,265,2,0
"Arizona",196,"Gila",1,0,0,230,0,43
"Arizona",253,"La Paz",0,0,0,246,15,10
"Arizona",366,"Maricopa",4,0,0,190,37,77
"Arizona",331,"Mohave",1,0,0,0,28,243
"Arizona",53,"Navajo",0,0,0,0,8,265
"Arizona",357,"Pima",3,0,0,88,58,127
"Arizona",1215,"Pinal",0,0,0,161,14,93
"Arizona",187,"Santa Cruz",1,0,0,0,225,47
"Arizona",97,"Yavapai",0,0,0,268,1,0
"Arizona",211,"Yuma",0,0,0,161,44,68
"Arkansas",77,"Arkansas",0,0,0,0,91,0
"Arkansas",68,"Ashley",0,0,0,0,91,0
"Arkansas",74,"Clark",0,0,0,241,0,0
"Arkansas",112,"Crittenden",0,0,0,219,54,0
"Arkansas",92,"Garland",0,0,0,0,91,0
"Arkansas",79,"Jackson",0,0,0,0,91,0
"Arkansas",77,"Newton",0,0,0,272,1,0
"Arkansas",119,"Polk",0,0,0,213,58,0
"Arkansas",239,"Pulaski",1,1,1,71,201,0
"Arkansas",70,"Union",0,0,0,0,91,0
"Arkansas",74,"Washington",0,0,0,223,50,0
"California",97,"Amador",0,0,0,211,0,0
"California",96,"Butte",0,0,0,139,106,0
"California",100,"Calaveras",0,0,0,162,44,1
"California",96,"Colusa",0,0,0,149,109,7
"California",70,"Del Norte",0,0,0,0,179,0
"California",115,"El Dorado",0,0,0,211,0,1
"California",157,"Fresno",1,0,0,214,84,6
"California",94,"Glenn",0,0,0,154,51,7
"California",75,"Humboldt",0,0,0,87,206,10
"California",190,"Imperial",6,0,0,121,46,52
"California",163,"Inyo",3,0,0,150,111,12
"California",143,"Kern",0,0,0,150,117,6
"California",105,"Kings",0,0,0,90,88,3
"California",32,"Lake",0,0,0,0,30,4
"California",201,"Los Angeles",29,1,3,172,87,11
"California",91,"Madera",0,0,0,64,56,0
"California",32,"Marin",0,0,0,0,20,0
"California",90,"Mariposa",0,0,0,249,1,0
"California",78,"Merced",0,0,0,43,47,0
"California",104,"Mono",0,0,0,0,94,87
"California",62,"Monterey",0,1,0,90,84,7
"California",84,"Nevada",0,0,0,161,20,0
"California",159,"Orange",1,1,8,114,149,2
"California",143,"Placer",0,0,0,170,73,0
"California",111,"Plumas",0,0,0,0,195,0
"California",365,"Riverside",32,1,0,184,56,33
"California",122,"Sacramento",0,1,0,129,94,0
"California",71,"San Benito",0,0,0,197,26,0
"California",207,"San Bernardino",38,1,1,201,62,9
"California",161,"San Diego",5,0,0,178,94,0
"California",93,"San Joaquin",0,0,0,77,105,0
"California",119,"San Luis Obispo",0,0,0,143,130,0
"California",186,"Santa Barbara",1,0,0,21,156,4
"California",71,"Santa Cruz",0,0,0,98,83,0
"California",100,"Shasta",0,0,0,203,21,8
"California",10,"Siskiyou",0,0,0,0,15,0
"California",61,"Solano",0,0,0,268,0,0
"California",39,"Sonoma",0,0,0,0,0,273
"California",101,"Stanislaus",0,1,0,182,64,2
"California",100,"Sutter",0,0,0,126,86,0
"California",90,"Tehama",0,0,0,97,109,6
"California",83,"Trinity",0,0,0,0,152,0
"California",140,"Tulare",0,0,0,138,93,1
"California",87,"Tuolumne",0,0,0,210,0,0
"California",131,"Ventura",0,0,0,160,107,6
"California",100,"Yolo",0,0,0,132,141,0
"Colorado",112,"Adams",0,0,18,163,70,22
"Colorado",76,"Alamosa",0,0,0,0,230,43
"Colorado",101,"Arapahoe",0,0,0,240,33,0
"Colorado",115,"Archuleta",0,0,0,237,58,8
"Colorado",119,"Boulder",0,0,0,202,70,1
"Colorado",100,"Clear Creek",0,0,0,267,0,0
"Colorado",103,"Delta",0,0,0,0,97,20
"Colorado",115,"Denver",0,1,30,161,82,0
"Colorado",122,"Douglas",0,0,0,237,36,0
