fipscounty,countyname_fips,state,cbsa_code,cbsa_name,ssa_code,state_name,countyname_rate
02013,ALEUTIANS EAST,AK,,,02013,ALASKA,ALEUTIANS EAST
02016,ALEUTIANS WEST,AK,,,02013,ALASKA,ALEUTIANS EAST
02013,ALEUTIANS EAST,AK,,,02016,ALASKA,ALEUTIANS WEST
02016,ALEUTIANS WEST,AK,,,02016,ALASKA,ALEUTIANS WEST
02020,ANCHORAGE,AK,11260,"Anchorage, AK",02020,ALASKA,ANCHORAGE
02050,BETHEL,AK,,,02050,ALASKA,BETHEL
02060,BRISTOL BAY,AK,,,02060,ALASKA,BRISTOL BAY
02063,CHUGACH,AK,,,02063,ALASKA,CHUGACH
02066,COPPER RIVER,AK,,,02066,ALASKA,COPPER RIVER
02068,DENALI,AK,,,02068,ALASKA,DENALI
02070,DILLINGHAM,AK,,,02070,ALASKA,DILLINGHAM
02090,FAIRBANKS NORTH STAR,AK,21820,"Fairbanks-College, AK",02090,ALASKA,FAIRBANKS NORTH STAR
02100,HAINES,AK,,,02100,ALASKA,HAINES
02105,HOONAH-ANGOON,AK,,,02105,ALASKA,HOONAH-ANGOON
02110,JUNEAU,AK,,,02110,ALASKA,JUNEAU
02122,KENAI PENINSULA,AK,,,02122,ALASKA,KENAI PENINSULA
02130,KETCHIKAN GATEWAY,AK,,,02130,ALASKA,KETCHIKAN GATEWAY
02150,KODIAK ISLAND,AK,,,02150,ALASKA,KODIAK ISLAND
02164,LAKE AND PENINSULA,AK,,,02164,ALASKA,LAKE AND PENINSULA
02170,MATANUSKA-SUSITNA,AK,11260,"Anchorage, AK",02170,ALASKA,MATANUSKA-SUSITNA
02180,NOME,AK,,,02180,ALASKA,NOME
02185,NORTH SLOPE BOROUH,AK,,,02185,ALASKA,NORTH SLOPE
02188,NORTHWEST ARTIC,AK,,,02188,ALASKA,NORTHWEST ARCTIC
02195,PETERSBURG,AK,,,02195,ALASKA,PETERSBURG
02198,PRINCE OF WALES-HYDER,AK,,,02198,ALASKA,PRINCE OF WALES-HYDER
02220,SITKA,AK,,,02220,ALASKA,SITKA
02230,SKAGWAY-YAKUTAT,AK,,,02230,ALASKA,SKAGWAY
02240,SOUTHEAST FAIRBANKS,AK,,,02240,ALASKA,SOUTHEAST FAIRBANKS
02158,KUSILVAK,AK,,,02270,ALASKA,WADE HAMPTON (KUSILVAK)
02275,WRANGELL CITY,AK,,,02275,ALASKA,WRANGELL
